alpha,calibrator,val_agreement_use_share,val_lambda_max,val_lambda_mean,val_lambda_min,val_mae,val_pred_signal_max,val_pred_signal_min,val_r2,val_rmse
0.01,compact_learnable_agreement_gain_gate,0.2549019607843137,,,,5.1726551917551814e-05,3.255883075006677e-08,-8.176064462629184e-08,0.9970220970940235,8.767363490238521e-05
0.1,compact_learnable_agreement_gain_gate,0.2549019607843137,,,,5.1726551917551814e-05,1.4717712187756814e-08,-4.064779243560212e-08,0.9970220970940235,8.767363490238521e-05
1.0,compact_learnable_agreement_gain_gate,0.2549019607843137,,,,5.073398319930913e-05,2.8707730201552283e-10,-6.097752726570086e-09,0.9973308130292896,8.300480695940775e-05
10.0,compact_learnable_agreement_gain_gate,0.35294117647058826,,,,5.062887817510881e-05,3.2000758039849458e-09,-2.401033879281423e-09,0.9973314780942115,8.299446541623817e-05
100.0,compact_learnable_agreement_gain_gate,0.7647058823529411,,,,5.062887817510881e-05,2.6878454445305244e-09,-1.915743955961007e-09,0.9973314780942115,8.299446541623817e-05
1000.0,compact_learnable_agreement_gain_gate,0.7647058823529411,,,,5.062887817510881e-05,9.909592683576527e-10,-6.3774191226967e-10,0.9973314780942115,8.299446541623817e-05
0.01,compact_learnable_agreement_soft_trust,,1.0,0.22751417820736308,0.0,5.1698222394620906e-05,,,0.9970221352294114,8.767307352095464e-05
0.1,compact_learnable_agreement_soft_trust,,1.0,0.19960027401387245,0.0,5.1659622652374614e-05,,,0.9970245999791002,8.763678293521773e-05
1.0,compact_learnable_agreement_soft_trust,,0.5206835905240987,0.06497594562169898,0.0,5.076826613071507e-05,,,0.9971347653685328,8.599908720100369e-05
10.0,compact_learnable_agreement_soft_trust,,0.40162512546537876,0.02996487872862616,0.0,5.057599622576225e-05,,,0.997184343129489,8.525181032346999e-05
100.0,compact_learnable_agreement_soft_trust,,0.2575273901698216,0.023710173111134852,0.0,5.052165586605856e-05,,,0.9971941155819594,8.510373769815103e-05
1000.0,compact_learnable_agreement_soft_trust,,0.06682184586653721,0.0213899545224683,0.0,5.044123055791844e-05,,,0.9972003665531589,8.500888745623561e-05
