best_model,chosen_model,conservative_logistic_override_on_selected_expert,conservative_logistic_override_on_selected_expert__err2,conservative_tree_override_on_selected_expert,conservative_tree_override_on_selected_expert__err2,event_key,logistic_choose_qa,pattern,pre_better_than_qa,qa_better_than_pre,qa_pre_tie,qa_vs_pre_mse_gain,residual_pre_call_market_only,residual_pre_call_market_only__err2,residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate__err2,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate__err2,sem_vs_pre_mse_gain,split,target,ticker,tree_choose_qa,validation_selected_transfer_expert,validation_selected_transfer_expert__err2,year
residual_pre_call_market_only,residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,-0.0006369985845998153,1.103662441191628e-09,-0.0006369985845998153,1.103662441191628e-09,AAPL_2024_Q1,0,tree_qa_logistic_sem,0,0,1,0.0,-0.0006369985845998153,1.103662441191628e-09,-0.0006369985845998153,1.103662441191628e-09,-0.0006369985845998153,1.103662441191628e-09,0.0,val2020_test_post2020,-0.00067022,AAPL,1,-0.0006369985845998153,1.103662441191628e-09,2024
residual_pre_call_market_only,residual_pre_call_market_only,-9.969834050687493e-05,8.617649928115034e-08,-9.969834050687493e-05,8.617649928115034e-08,AMGN_2024_Q3,1,tree_sem_logistic_qa,0,0,1,0.0,-9.969834050687493e-05,8.617649928115034e-08,-9.969834050687493e-05,8.617649928115034e-08,-9.969834050687493e-05,8.617649928115034e-08,0.0,val2020_test_post2020,0.00019386,AMGN,0,-9.969834050687493e-05,8.617649928115034e-08,2024
residual_pre_call_market_only,residual_pre_call_market_only,-0.00022308744511485542,3.047623899381894e-10,-0.00022308744511485542,3.047623899381894e-10,AMZN_2024_Q1,0,tree_qa_logistic_sem,0,0,1,0.0,-0.00022308744511485542,3.047623899381894e-10,-0.00022308744511485542,3.047623899381894e-10,-0.00022308744511485542,3.047623899381894e-10,0.0,val2020_test_post2020,-0.00020563,AMZN,1,-0.00022308744511485542,3.047623899381894e-10,2024
residual_pre_call_market_only,residual_pre_call_market_only,-0.0032305003267470043,1.5682634737161403e-08,-0.0032305003267470043,1.5682634737161403e-08,AMZN_2024_Q3,0,tree_qa_logistic_sem,0,0,1,0.0,-0.0032305003267470043,1.5682634737161403e-08,-0.0032305003267470043,1.5682634737161403e-08,-0.0032305003267470043,1.5682634737161403e-08,0.0,val2020_test_post2020,-0.0031052700000000003,AMZN,1,-0.0032305003267470043,1.5682634737161403e-08,2024
residual_pre_call_market_only,residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,-0.000449919077294541,1.2340520715658324e-09,-0.000449919077294541,1.2340520715658324e-09,DIS_2023_Q1,0,tree_qa_logistic_sem,0,0,1,0.0,-0.000449919077294541,1.2340520715658324e-09,-0.000449919077294541,1.2340520715658324e-09,-0.000449919077294541,1.2340520715658324e-09,0.0,val2020_test_post2020,-0.00041479000000000006,DIS,1,-0.000449919077294541,1.2340520715658324e-09,2023
residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate,-0.00032762832886634816,1.7154779660809684e-09,-0.00032650964129918173,1.6240610888427125e-09,DIS_2023_Q3,0,tree_qa_logistic_sem,0,1,0,9.141687723825594e-11,-0.00032762832886634816,1.7154779660809684e-09,-0.00032650964129918173,1.6240610888427125e-09,-0.00032762832886634816,1.7154779660809684e-09,0.0,val2020_test_post2020,-0.00028621,DIS,1,-0.00032650964129918173,1.6240610888427125e-09,2023
residual_pre_call_market_only,residual_pre_call_market_only,-0.0022269956507363848,4.210061718273322e-08,-0.0022360900601439684,3.845126451274206e-08,IBM_2023_Q1,1,tree_sem_logistic_qa,1,0,0,-3.649352669991158e-09,-0.0022360900601439684,3.845126451274206e-08,-0.0022269956507363848,4.210061718273322e-08,-0.0022360900601439684,3.845126451274206e-08,0.0,val2020_test_post2020,-0.00243218,IBM,0,-0.0022360900601439684,3.845126451274206e-08,2023
residual_pre_call_market_only,residual_pre_call_market_only,-0.002355363161414066,1.616123308885405e-08,-0.002382982209903532,9.901800289882702e-09,IBM_2024_Q2,1,tree_sem_logistic_qa,1,0,0,-6.259432798971349e-09,-0.002382982209903532,9.901800289882702e-09,-0.002355363161414066,1.616123308885405e-08,-0.002382982209903532,9.901800289882702e-09,0.0,val2020_test_post2020,-0.00248249,IBM,0,-0.002382982209903532,9.901800289882702e-09,2024
residual_pre_call_market_only,residual_pre_call_market_only,-0.004986850123887072,2.063247803535662e-07,-0.005043475292481038,1.5808950344123932e-07,IBM_2024_Q3,1,tree_sem_logistic_qa,1,0,0,-4.823527691232688e-08,-0.005043475292481038,1.5808950344123932e-07,-0.004986850123887072,2.063247803535662e-07,-0.005043475292481038,1.5808950344123932e-07,0.0,val2020_test_post2020,-0.00544108,IBM,0,-0.005043475292481038,1.5808950344123932e-07,2024
residual_pre_call_market_only,residual_pre_call_market_only,-8.253479350514223e-05,7.972035642780215e-10,-8.253479350514223e-05,7.972035642780215e-10,MSFT_2021_Q1,0,tree_qa_logistic_sem,0,0,1,0.0,-8.253479350514223e-05,7.972035642780215e-10,-8.253479350514223e-05,7.972035642780215e-10,-8.253479350514223e-05,7.972035642780215e-10,0.0,val2020_test_post2020,-5.4300000000000005e-05,MSFT,1,-8.253479350514223e-05,7.972035642780215e-10,2021
residual_pre_call_market_only,residual_pre_call_market_only,-6.883450348236196e-05,2.0205210925008026e-10,-6.883450348236196e-05,2.0205210925008026e-10,MSFT_2021_Q3,0,tree_qa_logistic_sem,0,0,1,0.0,-6.883450348236196e-05,2.0205210925008026e-10,-6.883450348236196e-05,2.0205210925008026e-10,-6.883450348236196e-05,2.0205210925008026e-10,0.0,val2020_test_post2020,-5.462e-05,MSFT,1,-6.883450348236196e-05,2.0205210925008026e-10,2021
residual_pre_call_market_only,residual_pre_call_market_only,-0.0009387522397321828,5.37262963762807e-07,-0.0009387522397321828,5.37262963762807e-07,MSFT_2021_Q4,0,tree_qa_logistic_sem,0,0,1,0.0,-0.0009387522397321828,5.37262963762807e-07,-0.0009387522397321828,5.37262963762807e-07,-0.0009387522397321828,5.37262963762807e-07,0.0,val2020_test_post2020,-0.00020577000000000008,MSFT,1,-0.0009387522397321828,5.37262963762807e-07,2021
residual_pre_call_market_only,residual_pre_call_market_only,-0.00012856230973040412,2.2626871264629626e-08,-0.00012856230973040412,2.2626871264629626e-08,MSFT_2022_Q2,0,tree_qa_logistic_sem,0,0,1,0.0,-0.00012856230973040412,2.2626871264629626e-08,-0.00012856230973040412,2.2626871264629626e-08,-0.00012856230973040412,2.2626871264629626e-08,0.0,val2020_test_post2020,2.1859999999999984e-05,MSFT,1,-0.00012856230973040412,2.2626871264629626e-08,2022
residual_pre_call_market_only,residual_pre_call_market_only,-0.0001161886531149067,3.234043707103588e-09,-0.0001161886531149067,3.234043707103588e-09,MSFT_2022_Q4,0,tree_qa_logistic_sem,0,0,1,0.0,-0.0001161886531149067,3.234043707103588e-09,-0.0001161886531149067,3.234043707103588e-09,-0.0001161886531149067,3.234043707103588e-09,0.0,val2020_test_post2020,-5.9319999999999994e-05,MSFT,1,-0.0001161886531149067,3.234043707103588e-09,2022
residual_pre_call_market_only,residual_pre_call_market_only,-6.4600629350412e-05,2.756316082189343e-09,-6.4600629350412e-05,2.756316082189343e-09,MSFT_2023_Q1,0,tree_qa_logistic_sem,0,0,1,0.0,-6.4600629350412e-05,2.756316082189343e-09,-6.4600629350412e-05,2.756316082189343e-09,-6.4600629350412e-05,2.756316082189343e-09,0.0,val2020_test_post2020,-1.2099999999999996e-05,MSFT,1,-6.4600629350412e-05,2.756316082189343e-09,2023
residual_pre_call_market_only,residual_pre_call_market_only,-0.0001152944292711379,1.2641174407963466e-09,-0.0001152944292711379,1.2641174407963466e-09,MSFT_2023_Q4,0,tree_qa_logistic_sem,0,0,1,0.0,-0.0001152944292711379,1.2641174407963466e-09,-0.0001152944292711379,1.2641174407963466e-09,-0.0001152944292711379,1.2641174407963466e-09,0.0,val2020_test_post2020,-7.974e-05,MSFT,1,-0.0001152944292711379,1.2641174407963466e-09,2023
