a4_median_match_score,a4_strict_high_conf_share,a4_strict_row_share,abs_ebitda_surprise_pct,abs_eps_gaap_surprise_pct,abs_revenue_surprise_pct,analyst_eps_norm_num_est,analyst_eps_norm_std,analyst_revenue_num_est,analyst_revenue_std,dominant_component_label,ebitda_surprise_pct,eps_gaap_surprise_pct,event_key,hard_abstention_abs_error,hard_abstention_se,pre_call_market_se,qa_bench_coverage_mean,qa_bench_direct_answer_share,qa_bench_direct_early_score_mean,qa_bench_evasion_score_mean,qa_bench_high_evasion_share,qa_bench_nonresponse_share,qa_evasive_proxy_share,qa_multi_part_question_share,qa_pair_answer_assertive_rate_mean,qa_pair_answer_forward_rate_mean,qa_pair_answer_hedge_rate_mean,qa_pair_count,qa_pair_low_overlap_share,question_role_mse_gain_vs_hard,question_role_mse_gain_vs_pre,question_role_se,question_text_preview,revenue_surprise_pct,row_key,state,ticker,top_miss,year
98.4772,0.925072,0.6547,0.030205898093106955,0.007436816686912853,0.012861810649703802,24.0,0.00695,21.0,65130.08,the / and / to / of / that / we / you / in,0.030205898093106955,-0.007436816686912853,CSCO_2023_Q2,0.0005422055146044333,2.9398682006745835e-07,3.474804576548059e-07,0.173047,0.857143,0.73745,0.230067,0.142857,0.0,0.0,0.642857,10.745668,6.874547,11.300427,14.0,0.428571,0.0,5.349363758734757e-08,2.9398682006745835e-07,"Got it. And then maybe just as a quick follow-up. So as we enter, let's say, the next fiscal year, I mean, given your excellent work on supply chain and the team has done a phenomenal job, would that imply -- I mean, ...",0.012861810649703802,val2022_test_post2022::CSCO_2023_Q2,agreement_keep_agreed,CSCO,1,2023
98.4425,0.954098,0.6224,0.07276691333519267,0.46257078098591004,0.004732212058253618,23.0,0.14431,21.0,88357.2,high performance / models that / computing is / that allows / all over / runs / hundreds of / it into,-0.07276691333519267,-0.46257078098591004,AMGN_2024_Q2,0.0004899860349894379,2.400863144846706e-07,2.400863144846706e-07,0.161662,0.666667,0.579554,0.269239,0.111111,0.0,0.0,0.555556,5.011193,3.71548,2.432156,9.0,0.333333,0.0,0.0,2.400863144846706e-07,"Well, not a huge growth driver. I'd love if you could characterize on some of your negotiations with CMS on Enbrel. Many of your peers are pleased with kind of the fair price that they negotiated with CMS. Do you feel...",0.004732212058253618,val2022_test_post2022::AMGN_2024_Q2,agreement_veto_to_pre,AMGN,1,2024
98.374,0.939759,0.7259,0.10288650873329044,0.4681506038361354,0.02216734712901614,32.0,0.056,38.0,1304201.73,high performance / models that / computing is / that allows / all over / runs / hundreds of / it into,0.10288650873329044,0.4681506038361354,AMZN_2023_Q1,0.0003224323537642908,1.0396262275398077e-07,1.1023927765669757e-07,0.195082,1.0,0.98885,0.162078,0.0,0.0,0.5,1.0,4.63615,8.802817,19.131455,2.0,0.5,0.0,6.2766549027168e-09,1.0396262275398077e-07,"Andy, you talked about the continued optimization. Just curious, can you talk about the degree to which optimization has been done in AWS versus what you think could still lie ahead? And when do you start to lap some ...",0.02216734712901614,val2022_test_post2022::AMZN_2023_Q1,agreement_keep_agreed,AMZN,1,2023
98.3206,0.939394,0.6433,0.066079328028878,1.000973653846891,0.0005134294159219287,23.0,0.13353,22.0,85430.66,and so / iphone / china / data center / data / center,0.066079328028878,1.000973653846891,AMGN_2024_Q3,0.00028384805535037474,8.05697185261894e-08,8.05697185261894e-08,0.144426,0.636364,0.460789,0.32127,0.272727,0.0,0.0,0.181818,4.638458,75.034989,9.309058,11.0,0.454545,0.0,0.0,8.05697185261894e-08,"Bob, maybe just looking at the rare disease franchise. And we've always mentioned -- you've mentioned it's certainly a different approach in this space. And to that, what is Amgen's approach on pipeline replenishment ...",0.0005134294159219287,val2022_test_post2022::AMGN_2024_Q3,agreement_veto_to_pre,AMGN,1,2024
98.5864,0.924342,0.64,,0.3405264018309629,0.10263989376463244,35.0,0.00322,34.0,84863.31,data center / computing / data / center / nvidia,,0.3405264018309629,NVDA_2024_Q1,0.0002411952068002987,5.817512778343886e-08,9.780046767210835e-08,0.129517,0.6,0.570742,0.291335,0.0,0.0,0.0,0.6,1.136185,1.986755,1.610119,5.0,0.6,0.0,3.962533988866949e-08,5.817512778343886e-08,"Colette, just wanted to clarify, does visibility mean data center sales can continue to grow sequentially in Q3 and Q4? Or do they sustain at Q2 level? So I just wanted to clarify that. And then, Jensen, my question i...",0.10263989376463244,val2022_test_post2022::NVDA_2024_Q1,agreement_keep_agreed,NVDA,1,2024
98.638,0.938983,0.6441,,0.4373478613654805,0.2187162565737142,40.0,0.01183,37.0,226183.59,data center / computing / data / center / nvidia,,0.4373478613654805,NVDA_2024_Q2,0.000136393106101587,1.8603079392038767e-08,1.8603079392038767e-08,0.173805,1.0,0.917643,0.155928,0.0,0.0,0.0,0.666667,8.50577,3.650643,8.158926,6.0,0.333333,0.0,0.0,1.8603079392038767e-08,"I was wondering, Colette, if you could tell me like how much of Data Center in the quarter, maybe even the guide, is like systems versus GPU, like DGX versus just the H100. What I'm really trying to get at is how much...",0.2187162565737142,val2022_test_post2022::NVDA_2024_Q2,disagreement_auto_pre,NVDA,1,2024
98.5654,0.943333,0.6928,0.0390527889906743,0.0009222256378726314,0.006820828171031603,22.0,0.00965,20.0,68767.84,you / just / your / about / how / on / maybe / could,0.0390527889906743,-0.0009222256378726314,CSCO_2024_Q2,0.00011744537345248452,1.3793415745393556e-08,2.591314095999865e-09,0.174739,0.8,0.515705,0.274901,0.0,0.0,0.1,0.8,13.314351,5.916915,18.986202,10.0,0.4,0.0,-1.1202101649393692e-08,1.3793415745393556e-08,"I'll keep it to one and one follow-up. So main question, just around inventory digestion. Is that dynamic primarily affecting enterprise and commercial customers? And can you talk a little bit about the visibility you...",0.006820828171031603,val2022_test_post2022::CSCO_2024_Q2,agreement_keep_agreed,CSCO,1,2024
98.6099,0.958333,0.6537,0.20695759150030338,0.23304562268803944,0.020437717973341506,24.0,0.03158,26.0,113814.28,the / and / to / of / that / we / you / in,0.20695759150030338,0.23304562268803944,NKE_2025_Q2,0.00011188636722948625,1.2518559171811454e-08,3.1004640826957866e-08,0.18701,0.714286,0.674697,0.268003,0.285714,0.0,0.0,0.428571,16.197583,5.162145,13.074262,7.0,0.285714,-1.848608165514641e-08,0.0,3.1004640826957866e-08,"Great. And I guess one of the other meetings, I think you said you had was with the NCAA. Just curious if you think this is the year for the Ducks, are they going to win the college football playoff? I want to follow ...",0.020437717973341506,val2022_test_post2022::NKE_2025_Q2,agreement_veto_to_pre,NKE,1,2025
98.8235,0.962617,0.707,0.0030898726013596565,0.020523868919378588,0.0033085961855490705,33.0,0.03845,32.0,1631652.8,you / just / your / about / how / on / maybe / could,-0.0030898726013596565,0.020523868919378588,AAPL_2024_Q2,0.00010289763444225417,1.0587923173811772e-08,1.0587923173811772e-08,0.214615,0.818182,0.778051,0.211015,0.0,0.0,0.090909,0.636364,2.467568,9.135983,12.632654,11.0,0.181818,0.0,0.0,1.0587923173811772e-08,"Tim, I was wondering if I could ask the China question again. Is there any more color from your visit there that gives you confidence that you've reached the bottom there and that it's turning? I know you've been -- y...",0.0033085961855490705,val2022_test_post2022::AAPL_2024_Q2,disagreement_auto_pre,AAPL,1,2024
98.5081,0.927586,0.6988,0.01912844553716702,1.1889466225791214,0.007147651382331152,15.0,0.09525,14.0,116570.21,consulting / red hat / hat / red / arvind / software / cash,0.01912844553716702,-1.1889466225791214,IBM_2024_Q3,9.355925427294385e-05,8.753334060109362e-09,8.753334060109362e-09,0.222516,0.833333,0.805845,0.187389,0.0,0.0,0.166667,0.666667,4.984772,0.777954,11.400808,6.0,0.333333,0.0,0.0,8.753334060109362e-09,"Jim, I wanted to maybe ask the Consulting AI question maybe a different way, which was last quarter, you had noted that Consulting AI projects were largely cannibalizing other areas of Consulting spend. And I'm just c...",-0.007147651382331152,val2022_test_post2022::IBM_2024_Q3,agreement_keep_agreed,IBM,1,2024
