alpha,calibrator,val_candidate_share,val_lambda_max,val_lambda_mean,val_lambda_min,val_mae,val_pred_signal_max,val_pred_signal_min,val_r2,val_rmse
0.01,compact_learnable_transfer_gain_gate,0.4457831325301205,,,,7.08199976365331e-05,4.6663447057647285e-09,-1.8398296844267797e-08,0.9988343043496825,0.00013121510922279203
0.1,compact_learnable_transfer_gain_gate,0.4457831325301205,,,,7.08199976365331e-05,4.649442889236568e-09,-1.8367045455313746e-08,0.9988343043496825,0.00013121510922279203
1.0,compact_learnable_transfer_gain_gate,0.6987951807228916,,,,7.082063667601536e-05,4.499707279592586e-09,-1.8072337259127052e-08,0.9988343029156339,0.00013121518993372962
10.0,compact_learnable_transfer_gain_gate,0.6024096385542169,,,,7.024305056596815e-05,3.824987073783972e-09,-1.6050977807472643e-08,0.9988405455337984,0.00013086337214790423
100.0,compact_learnable_transfer_gain_gate,0.4457831325301205,,,,7.014300531366052e-05,2.19013278182161e-09,-8.821482365374165e-09,0.9988407947057039,0.00013084930983290767
1000.0,compact_learnable_transfer_gain_gate,0.0,,,,7.008930870429062e-05,-9.133034509884216e-12,-1.7060847473789025e-09,0.9988257380604549,0.00013169635366672117
0.01,compact_learnable_transfer_soft_trust,,0.9638048945777699,0.1233706795115039,0.0,7.03593638149076e-05,,,0.9988354416433941,0.00013115108456298927
0.1,compact_learnable_transfer_soft_trust,,0.9581096775435151,0.12310199867002297,0.0,7.035642337372136e-05,,,0.9988354751529084,0.00013114919764992147
1.0,compact_learnable_transfer_soft_trust,,0.9063969187103865,0.12107270443584581,0.0,7.03295457861956e-05,,,0.9988357723038924,0.000131132463958229
10.0,compact_learnable_transfer_soft_trust,,0.8231598351109568,0.10934977795683237,0.0,7.018664206115347e-05,,,0.9988369716341793,0.0001310649034370944
100.0,compact_learnable_transfer_soft_trust,,0.6106036362518747,0.0803521125634435,0.0,6.994002341572609e-05,,,0.9988355064086515,0.00013114743762172187
1000.0,compact_learnable_transfer_soft_trust,,0.21353739092456062,0.04445566062305695,0.0,6.988288185947313e-05,,,0.9988294776450016,0.0001314864846601599
