count_a,count_b,log_odds,ngram
5,0,2.845570111870776,wondering
4,0,2.6448994164086246,wondering if
4,0,2.6448994164086246,wondering if you
4,0,2.6448994164086246,if you could
4,0,2.6448994164086246,ai
4,0,2.6448994164086246,you could
3,0,2.393584988127719,in terms of
3,0,2.393584988127719,terms
3,0,2.393584988127719,i was
3,0,2.393584988127719,little bit
3,0,2.393584988127719,terms of
3,0,2.393584988127719,in terms
3,0,2.393584988127719,a little bit
3,0,2.393584988127719,after
3,0,2.393584988127719,bit
8,1,2.1822758944605125,year
2,0,2.057112751506506,outstanding
2,0,2.057112751506506,that number
2,0,2.057112751506506,international
2,0,2.057112751506506,different
