lex_net_mse_gain_vs_hard,lex_win_share_vs_hard,mean_coverage,mean_direct_early,mean_evasion,mean_hedge_share,mean_numeric_token_share,mean_qa_pair_count,mean_severity,n,overlap_group,sem_net_mse_gain_vs_hard,sem_win_share_vs_hard,signature,years
-7.3115456970864e-10,0.0,0.054054,0.0,0.542432,0.061224489795918366,0.030612244897959183,5.0,3.70466,1,lex_only_veto,0.0,0.0,clarify,2023
0.0,0.0,0.226891,0.0,0.361644,0.05517241379310345,0.013793103448275862,8.0,3.218197,1,lex_only_veto,0.0,0.0,clarify+quant,2024
0.0,0.0,0.030303,0.0,0.595758,0.047619047619047616,0.031746031746031744,5.0,3.558359,1,lex_only_veto,0.0,0.0,clarify+structural,2024
0.0,0.0,0.195876,0.0,0.396459,0.0410958904109589,0.0,4.0,2.9392,1,sem_only_veto,1.4527045736471123e-10,1.0,clarify,2024
0.0,0.0,0.11189450000000001,0.0,0.456489,0.022296229397155115,0.023255813953488372,6.5,3.4016085,2,sem_only_veto,2.920242877065778e-09,1.0,clarify+quant,"2023,2025"
0.0,0.0,0.15213166666666667,0.311266,0.34486100000000003,0.03436905773354371,0.0,6.0,2.726847333333333,3,sem_only_veto,1.628426155734245e-09,0.3333333333333333,clarify+structural,"2023,2024"
0.0,0.0,0.257703,0.0,0.380507,0.02127659574468085,0.0,10.0,3.198641,1,sem_only_veto,3.4316276621842726e-09,1.0,quant,2023
0.0,0.0,0.327345,0.943709,0.222052,0.02631578947368421,0.010526315789473684,6.0,1.864732,1,sem_only_veto,-1.610800735440463e-10,0.0,quant+structural,2023
0.0,0.0,0.110553,0.878788,0.291492,0.006211180124223602,0.006211180124223602,5.0,2.410511,1,sem_only_veto,-6.051595345129582e-10,0.0,structural,2023
2.4247444511040713e-09,1.0,0.14764900000000003,0.48389675,0.381776,0.03417580523205965,0.0314285524848069,4.5,2.7523307499999996,4,shared_veto,2.4247444511040713e-09,1.0,clarify+quant,"2023,2024"
