agreement_rate,agreement_supported_pred__vs__residual_pre_call_market_only_mse_gain_mean,agreement_supported_pred__vs__residual_pre_call_market_only_mse_gain_pvalue,agreement_supported_pred__vs__residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate_mse_gain_mean,agreement_supported_pred__vs__residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate_mse_gain_pvalue,agreement_supported_pred__vs__residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate_mse_gain_mean,agreement_supported_pred__vs__residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate_mse_gain_pvalue,agreement_supported_pred__vs__validation_selected_transfer_expert_mse_gain_mean,agreement_supported_pred__vs__validation_selected_transfer_expert_mse_gain_pvalue,agreement_supported_pred_r2,agreement_supported_pred_rmse,conservative_logistic_override_on_selected_expert_r2,conservative_logistic_override_on_selected_expert_rmse,conservative_tree_override_on_selected_expert_r2,conservative_tree_override_on_selected_expert_rmse,disagreement_average_r2,disagreement_average_rmse,qa_share,residual_pre_call_market_only__vs__conservative_logistic_override_on_selected_expert_mse_gain_mean,residual_pre_call_market_only__vs__conservative_logistic_override_on_selected_expert_mse_gain_pvalue,residual_pre_call_market_only__vs__conservative_tree_override_on_selected_expert_mse_gain_mean,residual_pre_call_market_only__vs__conservative_tree_override_on_selected_expert_mse_gain_pvalue,residual_pre_call_market_only__vs__disagreement_average_mse_gain_mean,residual_pre_call_market_only__vs__disagreement_average_mse_gain_pvalue,residual_pre_call_market_only__vs__residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate_mse_gain_mean,residual_pre_call_market_only__vs__residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate_mse_gain_pvalue,residual_pre_call_market_only__vs__residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate_mse_gain_mean,residual_pre_call_market_only__vs__residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate_mse_gain_pvalue,residual_pre_call_market_only__vs__validation_selected_transfer_expert_mse_gain_mean,residual_pre_call_market_only__vs__validation_selected_transfer_expert_mse_gain_pvalue,residual_pre_call_market_only_r2,residual_pre_call_market_only_rmse,residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate_r2,residual_pre_call_market_plus_a4_plus_qa_benchmark_svd_observability_gate_rmse,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate_r2,residual_pre_call_market_plus_a4_plus_qna_lsa_plus_aligned_audio_svd_observability_gate_rmse,selected_pre_share,selected_qa_share,selected_retained_share,split,subset,test_size,validation_selected_transfer_expert_r2,validation_selected_transfer_expert_rmse
1.0,5.506396432139035e-11,0.74575,1.10845250258085e-10,0.391,5.506396432139035e-11,0.74575,9.056267667045799e-11,1.0,0.9977158134451275,0.00016088859752746114,0.9977158134451275,0.00016088859752746114,0.9977158134451275,0.00016088859752746114,,,0.0375,,,,,,,,,,,,,0.9977109544270576,0.0001610596311267189,0.9977060321102633,0.00016123270780028307,0.9977109544270576,0.0001610596311267189,0.575,0.425,0.0,val2020_test_post2020,agreement,80,0.9977078219085966,0.00016116979708066844
1.0,,,,,,,,,0.9977146409490356,0.0001637616933040648,0.9977146409490356,0.0001637616933040648,0.9977146409490356,0.0001637616933040648,,,0.0,,,,,,,,,,,,,0.9977146409490356,0.0001637616933040648,0.9977048269468383,0.00016411293699823492,0.9977146409490356,0.0001637616933040648,0.5844155844155844,0.4155844155844156,0.0,val2020_test_post2020,agreement_semantic,77,0.9977146409490356,0.0001637616933040648
1.0,,,,,,,,,0.9945872261743526,4.409673542167147e-05,0.9945872261743526,4.409673542167147e-05,0.9945872261743526,4.409673542167147e-05,,,1.0,,,,,,,,,,,,,0.990499863167332,5.841998336830162e-05,0.9945872261743526,4.409673542167147e-05,0.990499863167332,5.841998336830162e-05,0.3333333333333333,0.6666666666666666,0.0,val2020_test_post2020,agreement_qa,3,0.9878648163551271,6.602671267041172e-05
0.0,,,,,,,,,,,0.9941106479675771,0.0002600850603651738,0.9942425450480095,0.0002571561548812356,0.994181857683364,0.0002585078997126378,0.8823529411764706,1.7400161627877556e-09,0.13125,2.2506553093367368e-10,0.50225,9.221117514708247e-10,0.058,1.935185012736303e-09,0.06525,2.989668098512643e-11,1.0,2.2506553093367368e-10,0.50225,0.9942621400670233,0.0002567181771171811,0.9940936558617235,0.00026045999208151844,0.9942595371538632,0.00025677639911672855,0.47058823529411764,0.5294117647058824,0.0,val2020_test_post2020,disagreement,34,0.9942425450480095,0.0002571561548812356
1.0,-7.473485413106193e-11,0.8525,-4.300859068890156e-11,0.91575,2.0702773257378866e-10,0.06625,1.836283036239176e-10,0.25575,0.9971623110231403,8.55847019065176e-05,0.9971623110231403,8.55847019065176e-05,0.9971623110231403,8.55847019065176e-05,,,0.09803921568627451,,,,,,,,,,,,,0.9971912641650946,8.51469690963596e-05,0.9971789730457795,8.533306867644323e-05,0.9970821060986859,8.678576457577168e-05,0.0,0.13725490196078433,0.8627450980392157,val2021_test_post2021,agreement,51,0.9970911713065586,8.665084825927209e-05
1.0,,,,,,,,,0.9970950728777719,8.77122296513153e-05,0.9970950728777719,8.77122296513153e-05,0.9970950728777719,8.77122296513153e-05,,,0.0,,,,,,,,,,,,,0.9971263589090502,8.723862116381778e-05,0.9971130774370792,8.74399896666403e-05,0.9970950728777719,8.77122296513153e-05,0.0,0.10869565217391304,0.8913043478260869,val2021_test_post2021,agreement_semantic,46,0.9970950728777719,8.77122296513153e-05
1.0,,,,,,,,,0.9972808040284592,6.271169049414613e-05,0.9972808040284592,6.271169049414613e-05,0.9972808040284592,6.271169049414613e-05,,,1.0,,,,,,,,,,,,,0.9972808040284592,6.271169049414613e-05,0.9972808040284592,6.271169049414613e-05,0.9958207390314373,7.774599023027634e-05,0.0,0.4,0.6,val2021_test_post2021,agreement_qa,5,0.9959857637203293,7.61955695667244e-05
0.0,,,,,,,,,,,0.9988947464619683,0.00018296466450829987,0.998854939248086,0.00018623038079190846,0.9988770324752398,0.0001844250310600181,0.15625,4.4948753165304776e-11,0.543,1.250635024429799e-09,0.0,5.814723760192173e-10,0.0,4.2732233424827665e-11,0.56775,1.252851544170276e-09,0.0,1.252851544170276e-09,0.0,0.9988962305002904,0.0001828417887285875,0.9988948196430913,0.00018295860717357424,0.9988548660669629,0.00018623633171226204,0.0,0.15625,0.84375,val2021_test_post2021,disagreement,32,0.9988548660669629,0.00018623633171226204
1.0,2.422728467078776e-09,0.1595,3.5064116753707864e-09,0.20875,1.3847711726407605e-09,0.07125,1.0850689650853401e-09,0.22975,0.9985910664293539,0.00014039414692105406,0.9985910664293539,0.00014039414692105406,0.9985910664293539,0.00014039414692105406,,,0.4090909090909091,,,,,,,,,,,,,0.9984178866209196,0.00014877246034387305,0.9983404235238512,0.00015237102140847286,0.9984920811696923,0.00014524216902239953,0.0,0.3409090909090909,0.6590909090909091,val2022_test_post2022,agreement,44,0.9985135042765725,0.00014420674552452755
1.0,,,,,,,,,0.9987793345733065,0.0001585470692611872,0.9987793345733065,0.0001585470692611872,0.9987793345733065,0.0001585470692611872,,,0.0,,,,,,,,,,,,,0.9985932949241026,0.00017020073207086374,0.9984911820418295,0.0001762699651725704,0.9987793345733065,0.0001585470692611872,0.0,0.2692307692307692,0.7307692307692307,val2022_test_post2022,agreement_semantic,26,0.9987806288536981,0.00015846299266568078
