config_name,family,logistic_mae,logistic_p_mse_vs_retained,logistic_p_mse_vs_selected,logistic_r2,logistic_rmse,router_c,tree_depth,tree_mae,tree_min_leaf_frac,tree_p_mse_vs_retained,tree_p_mse_vs_selected,tree_r2,tree_rmse
hybrid_pair_bench_tree_d1_l0p05,hybrid_pair_bench_tree,,,,,,1.0,1,7.013743181937577e-05,0.05,0.13975,0.36975,0.998610136083545,0.000124972548430077
hybrid_pair_bench_tree_d1_l0p08,hybrid_pair_bench_tree,,,,,,1.0,1,7.013743181937577e-05,0.08,0.13975,0.36975,0.998610136083545,0.000124972548430077
hybrid_pair_bench_tree_d1_l0p12,hybrid_pair_bench_tree,,,,,,1.0,1,7.013743181937577e-05,0.12,0.13975,0.36975,0.998610136083545,0.000124972548430077
hybrid_pair_bench_tree_d1_l0p16,hybrid_pair_bench_tree,,,,,,1.0,1,7.013743181937577e-05,0.16,0.13975,0.36975,0.998610136083545,0.000124972548430077
hybrid_pair_bench_tree_d2_l0p05,hybrid_pair_bench_tree,,,,,,1.0,2,6.814738429888915e-05,0.05,0.05225,0.17275,0.9986242670023903,0.0001243356196594965
hybrid_pair_bench_tree_d2_l0p08,hybrid_pair_bench_tree,,,,,,1.0,2,6.814738429888915e-05,0.08,0.05225,0.17275,0.9986242670023903,0.0001243356196594965
hybrid_pair_bench_tree_d2_l0p12,hybrid_pair_bench_tree,,,,,,1.0,2,6.814738429888915e-05,0.12,0.05225,0.17275,0.9986242670023903,0.0001243356196594965
hybrid_pair_bench_tree_d2_l0p16,hybrid_pair_bench_tree,,,,,,1.0,2,6.814738429888915e-05,0.16,0.05225,0.17275,0.9986242670023903,0.0001243356196594965
hybrid_pair_bench_tree_d3_l0p05,hybrid_pair_bench_tree,,,,,,1.0,3,6.8246725421808e-05,0.05,0.057,0.1675,0.9986241470019735,0.0001243410422236336
hybrid_pair_bench_tree_d3_l0p08,hybrid_pair_bench_tree,,,,,,1.0,3,6.8246725421808e-05,0.08,0.057,0.1675,0.9986241470019735,0.0001243410422236336
hybrid_pair_bench_tree_d3_l0p12,hybrid_pair_bench_tree,,,,,,1.0,3,6.8246725421808e-05,0.12,0.057,0.1675,0.9986241470019735,0.0001243410422236336
hybrid_pair_bench_tree_d3_l0p16,hybrid_pair_bench_tree,,,,,,1.0,3,6.8246725421808e-05,0.16,0.057,0.1675,0.9986241470019735,0.0001243410422236336
hybrid_pair_bench_tree_d4_l0p05,hybrid_pair_bench_tree,,,,,,1.0,4,6.8246725421808e-05,0.05,0.057,0.1675,0.9986241470019735,0.0001243410422236336
hybrid_pair_bench_tree_d4_l0p08,hybrid_pair_bench_tree,,,,,,1.0,4,6.8246725421808e-05,0.08,0.057,0.1675,0.9986241470019735,0.0001243410422236336
hybrid_pair_bench_tree_d4_l0p12,hybrid_pair_bench_tree,,,,,,1.0,4,6.8246725421808e-05,0.12,0.057,0.1675,0.9986241470019735,0.0001243410422236336
hybrid_pair_bench_tree_d4_l0p16,hybrid_pair_bench_tree,,,,,,1.0,4,6.8246725421808e-05,0.16,0.057,0.1675,0.9986241470019735,0.0001243410422236336
hybrid_plus_text_logistic_c0p1,hybrid_plus_text_logistic,7.00570283544676e-05,0.21875,0.3945,0.9986149361033784,0.0001247565598260455,0.1,2,,0.08,,,,
hybrid_plus_text_logistic_c0p25,hybrid_plus_text_logistic,7.123478624594643e-05,0.36975,0.53425,0.9986016578641465,0.00012535313740945117,0.25,2,,0.08,,,,
hybrid_plus_text_logistic_c0p5,hybrid_plus_text_logistic,7.07662250393841e-05,0.306,0.45775,0.9986086396486724,0.00012503980788124147,0.5,2,,0.08,,,,
hybrid_plus_text_logistic_c1p0,hybrid_plus_text_logistic,6.92545685256378e-05,0.17275,0.293,0.9986282967157322,0.00012415338795235313,1.0,2,,0.08,,,,
hybrid_plus_text_logistic_c2p0,hybrid_plus_text_logistic,6.818570001625377e-05,0.13475,0.23225,0.9986363798329253,0.00012378704444984158,2.0,2,,0.08,,,,
hybrid_plus_text_logistic_c4p0,hybrid_plus_text_logistic,6.885072991031205e-05,0.1525,0.26,0.9986326904178302,0.00012395439064533426,4.0,2,,0.08,,,,
hybrid_plus_text_logistic_c8p0,hybrid_plus_text_logistic,6.939116588101662e-05,0.206,0.33625,0.9986221317247275,0.00012443207301722817,8.0,2,,0.08,,,,
