event_key,ticker,year,quarter,aligned_audio_sentence_count,aligned_audio_duration_sum_sec,F0semitoneFrom27.5Hz_sma3nz_amean_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_percentile20.0_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_percentile50.0_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_percentile80.0_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm_winsor_mean,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope_winsor_mean,F1amplitudeLogRelF0_sma3nz_amean_winsor_mean,F1amplitudeLogRelF0_sma3nz_stddevNorm_winsor_mean,F1bandwidth_sma3nz_amean_winsor_mean,F1bandwidth_sma3nz_stddevNorm_winsor_mean,F1frequency_sma3nz_amean_winsor_mean,F1frequency_sma3nz_stddevNorm_winsor_mean,F2amplitudeLogRelF0_sma3nz_amean_winsor_mean,F2amplitudeLogRelF0_sma3nz_stddevNorm_winsor_mean,F2bandwidth_sma3nz_amean_winsor_mean,F2bandwidth_sma3nz_stddevNorm_winsor_mean,F2frequency_sma3nz_amean_winsor_mean,F2frequency_sma3nz_stddevNorm_winsor_mean,F3amplitudeLogRelF0_sma3nz_amean_winsor_mean,F3amplitudeLogRelF0_sma3nz_stddevNorm_winsor_mean,F3bandwidth_sma3nz_amean_winsor_mean,F3bandwidth_sma3nz_stddevNorm_winsor_mean,F3frequency_sma3nz_amean_winsor_mean,F3frequency_sma3nz_stddevNorm_winsor_mean,HNRdBACF_sma3nz_amean_winsor_mean,HNRdBACF_sma3nz_stddevNorm_winsor_mean,MeanUnvoicedSegmentLength_winsor_mean,MeanVoicedSegmentLengthSec_winsor_mean,StddevUnvoicedSegmentLength_winsor_mean,StddevVoicedSegmentLengthSec_winsor_mean,VoicedSegmentsPerSec_winsor_mean,alphaRatioUV_sma3nz_amean_winsor_mean,alphaRatioV_sma3nz_amean_winsor_mean,alphaRatioV_sma3nz_stddevNorm_winsor_mean,equivalentSoundLevel_dBp_winsor_mean,hammarbergIndexUV_sma3nz_amean_winsor_mean,hammarbergIndexV_sma3nz_amean_winsor_mean,hammarbergIndexV_sma3nz_stddevNorm_winsor_mean,jitterLocal_sma3nz_amean_winsor_mean,jitterLocal_sma3nz_stddevNorm_winsor_mean,logRelF0-H1-A3_sma3nz_amean_winsor_mean,logRelF0-H1-A3_sma3nz_stddevNorm_winsor_mean,logRelF0-H1-H2_sma3nz_amean_winsor_mean,logRelF0-H1-H2_sma3nz_stddevNorm_winsor_mean,loudnessPeaksPerSec_winsor_mean,loudness_sma3_amean_winsor_mean,loudness_sma3_meanFallingSlope_winsor_mean,loudness_sma3_meanRisingSlope_winsor_mean,loudness_sma3_pctlrange0-2_winsor_mean,loudness_sma3_percentile20.0_winsor_mean,loudness_sma3_percentile50.0_winsor_mean,loudness_sma3_percentile80.0_winsor_mean,loudness_sma3_stddevFallingSlope_winsor_mean,loudness_sma3_stddevNorm_winsor_mean,loudness_sma3_stddevRisingSlope_winsor_mean,mfcc1V_sma3nz_amean_winsor_mean,mfcc1V_sma3nz_stddevNorm_winsor_mean,mfcc1_sma3_amean_winsor_mean,mfcc1_sma3_stddevNorm_winsor_mean,mfcc2V_sma3nz_amean_winsor_mean,mfcc2V_sma3nz_stddevNorm_winsor_mean,mfcc2_sma3_amean_winsor_mean,mfcc2_sma3_stddevNorm_winsor_mean,mfcc3V_sma3nz_amean_winsor_mean,mfcc3V_sma3nz_stddevNorm_winsor_mean,mfcc3_sma3_amean_winsor_mean,mfcc3_sma3_stddevNorm_winsor_mean,mfcc4V_sma3nz_amean_winsor_mean,mfcc4V_sma3nz_stddevNorm_winsor_mean,mfcc4_sma3_amean_winsor_mean,mfcc4_sma3_stddevNorm_winsor_mean,shimmerLocaldB_sma3nz_amean_winsor_mean,shimmerLocaldB_sma3nz_stddevNorm_winsor_mean,slopeUV0-500_sma3nz_amean_winsor_mean,slopeUV500-1500_sma3nz_amean_winsor_mean,slopeV0-500_sma3nz_amean_winsor_mean,slopeV0-500_sma3nz_stddevNorm_winsor_mean,slopeV500-1500_sma3nz_amean_winsor_mean,slopeV500-1500_sma3nz_stddevNorm_winsor_mean,spectralFluxUV_sma3nz_amean_winsor_mean,spectralFluxV_sma3nz_amean_winsor_mean,spectralFluxV_sma3nz_stddevNorm_winsor_mean,spectralFlux_sma3_amean_winsor_mean,spectralFlux_sma3_stddevNorm_winsor_mean
AAPL_2019_Q2,AAPL,2019,Q2,19,139.901000,27.690907,55.334454,172.730501,4.256962,25.546091,27.080010,29.768262,76.462222,0.113274,212.788451,-86.084436,-1.160158,1241.049962,0.211809,656.102067,0.440679,-85.665196,-1.112592,924.739585,0.332618,1645.292101,0.183308,-88.673504,-1.039831,813.299641,0.379019,2668.642222,0.120837,3.937910,0.801001,0.148962,0.186419,0.145585,0.146212,3.001783,-3.860618,-9.018591,-0.882521,-37.459558,12.495581,19.798035,0.393682,0.021149,1.370830,18.203174,0.527320,0.002922,-10.083820,3.760778,0.173691,2.129769,2.645218,0.214706,0.061951,0.145518,0.276122,1.214590,0.743644,1.469364,25.398820,0.342255,20.197018,0.649271,-12.272905,-0.275612,-9.560368,1.362252,10.538513,3.051433,10.142699,3.942332,-29.733528,-0.534792,-24.791581,-0.675739,1.382677,0.682160,0.097676,-0.004301,0.130074,0.181031,-0.013191,-1.285280,0.021873,0.058986,0.687710,0.043081,0.927733
AAPL_2019_Q3,AAPL,2019,Q3,20,152.398000,27.182191,119.456536,216.603094,5.466899,24.348972,26.441130,29.793910,174.902848,0.166573,328.217834,-60.835873,-1.582855,1223.930553,0.219738,638.007914,0.440485,-63.362939,-1.383334,904.305140,0.366174,1644.062972,0.192155,-67.587091,-1.236191,806.797640,0.407088,2682.064934,0.124981,2.942483,2.108978,0.121937,0.267674,0.138756,0.194563,2.596262,-3.329834,-10.424710,-0.722327,-26.958202,12.430524,21.670643,0.396341,0.038724,1.731540,19.981551,0.501820,1.690307,0.288244,3.873430,0.548579,6.992156,9.018012,0.720970,0.185556,0.463084,0.906686,4.342625,0.732157,4.907190,34.549625,0.338590,28.543218,0.588569,-10.506099,-2.217843,-8.594952,-3.321047,12.129852,1.902266,11.602223,1.858962,-13.834355,-0.850044,-11.322470,-0.964142,1.569014,0.723755,0.091230,-0.001818,0.116138,0.227221,-0.013770,-1.093029,0.111702,0.356490,0.727003,0.280625,0.927092
AAPL_2019_Q4,AAPL,2019,Q4,12,75.013000,28.809613,185.737738,391.980068,12.967929,21.764962,25.248014,34.748551,189.007895,0.332946,462.845358,-57.189567,-1.666069,1218.588145,0.268752,808.151554,0.341745,-55.813664,-1.603332,1092.385029,0.325968,1785.477454,0.164396,-59.681499,-1.421046,981.330757,0.341497,2744.006238,0.103826,-0.292742,7.878835,0.075738,0.173782,0.062068,0.155986,3.965229,-1.719140,-5.796610,-1.862978,-14.241209,11.559696,17.396694,0.565567,0.068762,1.528067,11.299783,1.112422,-1.560444,-5.027861,3.991954,1.509112,20.766367,25.468576,2.080893,0.467947,1.130677,2.549811,11.594765,0.804970,12.912140,36.830633,0.307568,34.910461,0.330606,-30.305396,-0.455340,-31.560562,-0.444109,8.981180,2.493851,10.868471,-1.510722,-8.152990,-2.519628,-7.456642,-3.493606,2.305255,0.589742,0.071029,-0.008095,0.096404,0.363384,-0.014124,-1.303489,0.800075,1.537395,0.843638,1.323157,0.957738
AAPL_2020_Q2,AAPL,2020,Q2,26,222.473000,25.265015,89.707410,187.478285,3.690671,22.779169,24.189531,26.469550,106.287727,0.182918,224.674304,-92.672991,-1.067454,1288.156771,0.201086,688.022336,0.374994,-94.763709,-0.989652,1009.671093,0.294105,1674.891978,0.162117,-99.085775,-0.906066,879.586203,0.356907,2754.383958,0.123217,2.844183,0.899021,0.147129,0.170020,0.170383,0.149937,3.105682,-6.512710,-10.728809,-0.715050,-30.467704,16.268115,21.891457,0.444352,0.028692,1.445416,19.795141,0.730965,-0.800952,-2.010788,3.533767,0.345248,3.891282,5.128628,0.442943,0.111236,0.291788,0.554160,2.218711,0.753421,2.752678,45.882525,0.203449,40.973344,0.326282,-15.438853,-1.163418,-15.707784,-1.130598,11.771640,3.160084,13.962629,2.376569,-9.519006,-3.093039,-8.217233,-1.953107,1.490977,0.633425,0.062251,0.004781,0.072346,0.272883,-0.012558,-2.643232,0.078906,0.181710,0.668559,0.132650,0.916932
AAPL_2020_Q3,AAPL,2020,Q3,14,115.990000,25.226949,136.949040,235.738381,5.118252,22.183193,24.491159,27.289777,199.161714,0.194351,312.636049,-58.438859,-1.625436,1207.258732,0.220595,559.535979,0.464904,-63.457930,-1.352294,890.450062,0.344426,1564.589462,0.190042,-68.300086,-1.193914,799.613669,0.440114,2611.809187,0.132906,1.973787,2.714245,0.109358,0.258322,0.105731,0.219451,2.731508,-1.801962,-11.582330,-0.733028,-24.254215,10.453094,23.344791,0.387214,0.040076,1.632183,21.885945,0.483208,1.473266,8.598883,4.150191,0.621358,8.395781,10.941940,0.783011,0.213871,0.514069,0.997245,5.411108,0.741421,5.946846,32.779847,0.400054,25.877300,0.713648,-3.579214,7.980914,-2.342053,-5.745913,11.815584,1.811718,11.146000,1.795924,-11.109042,-1.640384,-9.402411,-2.141261,1.700025,0.729050,0.083063,-0.005222,0.100694,0.253449,-0.017248,-1.049155,0.147140,0.443962,0.726800,0.351062,0.915994
AAPL_2020_Q4,AAPL,2020,Q4,12,91.991000,26.812800,118.682951,157.336991,5.138022,23.772918,26.111216,28.895198,171.659929,0.175897,178.488960,-50.066740,-1.763538,1187.400407,0.248274,615.479616,0.478513,-54.653779,-1.460966,878.573698,0.367773,1628.388776,0.201971,-59.388981,-1.282949,783.207362,0.431898,2673.275812,0.139322,2.394947,1.686751,0.089891,0.261909,0.095959,0.211614,2.860343,-3.928463,-10.720067,-0.669563,-26.896092,12.391572,22.230411,0.371442,0.043286,1.689389,22.164910,0.482815,2.919581,-2.763444,4.266263,0.560193,6.222240,9.248022,0.623570,0.236649,0.492565,0.861116,3.256131,0.646572,4.578548,31.419749,0.418438,26.185825,0.642457,-4.313115,-20.473954,-2.639383,14.150161,11.146621,2.881603,10.354284,2.736419,-9.666250,-3.818782,-9.241846,-3.677427,1.589386,0.639655,0.094487,-0.002520,0.110525,0.257188,-0.010824,-1.240049,0.126523,0.367892,0.687980,0.303303,0.840650
AAPL_2021_Q1,AAPL,2021,Q1,40,335.687000,26.127114,120.526392,277.765832,5.427345,22.732918,24.399127,28.156610,148.475468,0.215551,348.140641,-101.138568,-0.994344,1285.233167,0.194008,683.921238,0.379396,-102.113638,-0.926368,982.169964,0.298227,1704.069601,0.158014,-105.134139,-0.871218,889.961747,0.351823,2766.859262,0.124541,2.935025,0.889812,0.149378,0.147714,0.149613,0.119055,3.239509,-7.088092,-11.218272,-0.647908,-27.959848,15.713248,21.224941,0.454691,0.033665,1.557224,17.219615,0.837491,-3.297667,-1.050009,3.607483,0.424286,4.335385,5.848980,0.514512,0.159736,0.366711,0.674150,2.299545,0.687971,3.106854,44.381012,0.190656,41.378363,0.256949,-16.758493,-0.896538,-18.031873,-0.833539,11.129386,0.826482,15.171091,1.805937,-12.656151,-2.536911,-10.348591,0.318360,1.561194,0.617495,0.067161,-0.002826,0.079434,0.239484,-0.020563,-1.063642,0.125806,0.240627,0.613557,0.181583,0.858309
AAPL_2021_Q2,AAPL,2021,Q2,0,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL_2021_Q3,AAPL,2021,Q3,31,266.660000,26.852179,103.936358,238.815232,5.068837,23.745173,25.763130,28.889496,143.252090,0.185618,322.574078,-55.060017,-1.717389,1195.467530,0.232851,643.229751,0.455235,-59.017226,-1.432952,902.880098,0.373671,1661.134085,0.194647,-62.657167,-1.297696,807.097451,0.405429,2700.697472,0.129210,2.214147,1.682172,0.116116,0.281446,0.135483,0.254729,2.631030,-4.795829,-11.098851,-0.743351,-27.814946,13.350278,21.854808,0.429160,0.041265,1.699599,18.102969,0.622711,-0.009565,1.283477,3.732392,0.524881,5.998886,8.260917,0.651593,0.189524,0.452013,0.841046,3.420296,0.713549,4.467614,33.861913,0.365274,28.662125,0.579314,-9.263165,-2.387356,-7.152531,-4.936651,12.561452,1.898181,12.093915,1.916335,-12.721005,-0.172834,-10.702393,-2.630873,1.689941,0.632970,0.094080,-0.003269,0.119031,0.232684,-0.014270,-1.050062,0.122736,0.346144,0.682317,0.280723,0.859425
AAPL_2021_Q4,AAPL,2021,Q4,15,119.467000,27.562332,47.060567,146.331288,3.542958,25.601860,27.262781,29.171225,59.499206,0.099255,167.619978,-84.506602,-1.154115,1325.225373,0.194316,682.099117,0.373677,-86.753335,-1.056182,1033.511261,0.308843,1672.840383,0.163940,-91.610292,-0.953463,868.441344,0.361092,2759.826779,0.108476,4.067107,0.655063,0.131049,0.185422,0.122345,0.142103,3.061072,-7.001607,-11.407429,-0.601997,-35.124020,15.800891,23.662460,0.427578,0.022703,1.152147,23.986971,0.538562,0.522793,-16.785776,3.557992,0.245592,2.581616,3.573592,0.291598,0.094426,0.206204,0.386142,1.303647,0.706714,1.862871,45.599210,0.171983,40.943808,0.291475,-14.772449,-1.074323,-15.350860,-1.073511,11.518656,2.534250,15.964016,1.667893,-11.388093,-1.945011,-11.299117,-1.992148,1.427207,0.614705,0.068248,0.006268,0.081344,0.214035,-0.009950,-3.613093,0.045012,0.103731,0.651841,0.078341,0.872094
